date,level,yoy,yoy_ma50
2024-03-12,54307.0,3637.8,3060.7
2024-03-13,54300.0,3604.8,3143.9
2024-03-14,54293.0,3497.8,3222.6
2024-03-15,54283.0,3381.8,3288.5
2024-03-16,54283.0,3216.8,3340.9
2024-03-17,54283.0,3216.8,3390.6
2024-03-18,54283.0,3216.8,3444.8
2024-03-19,54278.0,3222.8,3494.0
2024-03-20,54278.0,3069.8,3540.2
2024-03-21,54277.0,3105.8,3588.9
2024-03-22,54279.0,3152.8,3583.6
2024-03-23,54279.0,3325.8,3581.0
2024-03-24,54279.0,3325.8,3572.5
2024-03-25,54319.0,3365.8,3559.5
2024-03-26,54464.0,2785.8,3520.3
2024-03-27,54711.0,2936.8,3488.2
2024-03-28,54959.0,3051.8,3459.7
2024-03-29,55107.0,3024.8,3434.4
2024-03-30,55107.0,2842.8,3412.2
2024-03-31,55107.0,1468.0,3366.0
2024-04-01,56453.5,2814.4,3346.8
2024-04-02,56305.5,2919.4,3329.7
2024-04-03,56057.5,2947.4,3311.0
2024-04-04,55807.5,2897.4,3285.3
2024-04-05,55657.5,2978.4,3254.3
2024-04-06,55657.5,3150.4,3228.6
2024-04-07,55659.5,3152.4,3215.5
2024-04-08,55659.5,3152.4,3203.3
2024-04-09,55659.5,3136.4,3192.1
2024-04-10,55659.5,3133.4,3191.4
2024-04-11,55661.5,3128.4,3198.6
2024-04-12,55663.5,3129.4,3211.7
2024-04-13,55663.5,3131.4,3218.1
2024-04-14,55661.5,3129.4,3217.1
2024-04-15,55659.5,3127.4,3216.0
2024-04-16,55659.5,3125.4,3209.0
2024-04-17,55659.5,3092.4,3195.8
2024-04-18,55659.5,3067.4,3183.2
2024-04-19,55659.5,3042.4,3209.5
2024-04-20,55659.5,2969.4,3201.8
2024-04-21,55659.5,2969.4,3185.2
2024-04-22,55661.5,2882.4,3166.7
2024-04-23,55661.5,2787.4,3152.8
2024-04-24,55661.5,2655.4,3137.2
2024-04-25,55661.5,2592.4,3116.9
2024-04-26,55661.5,2533.4,3095.6
2024-04-27,55661.5,2456.4,3071.4
2024-04-28,55663.5,2458.4,3047.1
2024-04-29,55663.5,2547.4,3024.6
2024-04-30,56101.5,1863.8,2988.5
2024-05-01,56099.5,2031.8,2956.4
2024-05-02,56097.5,2124.8,2926.8
2024-05-03,56095.5,2182.8,2900.5
2024-05-04,56095.5,2344.8,2879.7
2024-05-05,56093.5,2340.8,2862.2
2024-05-06,56093.5,2340.8,2844.7
2024-05-07,55655.5,1900.8,2818.4
2024-05-08,55657.5,1900.8,2791.9
2024-05-09,55659.5,1900.8,2768.5
2024-05-10,55661.5,1933.8,2745.1
2024-05-11,55663.5,1936.8,2720.8
2024-05-12,55663.5,1938.8,2693.0
2024-05-13,55663.5,1938.8,2665.3
2024-05-14,55663.5,1938.8,2636.7
2024-05-15,55661.5,1936.8,2619.8
2024-05-16,55661.5,1936.8,2599.8
2024-05-17,55661.5,1936.8,2577.5
2024-05-18,55659.5,1934.8,2555.7
2024-05-19,55659.5,1934.8,2537.5
2024-05-20,55659.5,1934.8,2546.8
2024-05-21,55659.5,1934.8,2529.2
2024-05-22,55661.5,1936.8,2509.6
2024-05-23,55661.5,1936.8,2489.4
2024-05-24,55661.5,1931.8,2470.1
2024-05-25,55661.5,1928.8,2449.1
2024-05-26,55661.5,1928.8,2424.6
2024-05-27,55661.5,1928.8,2400.2
2024-05-28,55661.5,1905.8,2375.2
2024-05-29,55909.5,2118.8,2354.9
2024-05-30,56167.5,2365.8,2339.5
2024-05-31,56265.5,2468.8,2326.3
2024-06-01,55852.7,2059.0,2304.9
2024-06-02,55852.7,2059.0,2283.5
2024-06-03,55852.7,2059.0,2262.1
2024-06-04,55852.7,2082.0,2241.2
2024-06-05,55604.7,1869.0,2216.0
2024-06-06,55346.7,1622.0,2186.6
2024-06-07,55248.7,1524.0,2155.8
2024-06-08,55248.7,1524.0,2125.4
2024-06-09,55248.7,1524.0,2096.5
2024-06-10,55246.7,1522.0,2067.5
2024-06-11,55246.7,1522.0,2040.3
2024-06-12,55246.7,1522.0,2015.0
2024-06-13,55246.7,1522.0,1992.3
2024-06-14,55246.7,1522.0,1970.9
2024-06-15,55246.7,1482.0,1949.9
2024-06-16,55246.7,1482.0,1930.4
2024-06-17,55246.7,1482.0,1910.9
2024-06-18,55330.7,1479.0,1889.5
2024-06-19,55606.7,1575.0,1883.7
2024-06-20,55624.7,1450.0,1872.1
2024-06-21,55632.7,1460.0,1858.8
2024-06-22,55632.7,1502.0,1845.2
2024-06-23,55632.7,1502.0,1828.3
2024-06-24,55682.7,1356.0,1808.6
2024-06-25,55896.7,1415.0,1790.1
2024-06-26,55868.7,1350.0,1779.1
2024-06-27,55948.7,1361.0,1768.3
2024-06-28,55988.7,1208.0,1754.5
2024-06-29,55988.7,1105.0,1737.9
2024-06-30,55988.7,14.0,1699.4
2024-07-01,55940.7,162.0,1663.9
2024-07-02,55642.7,103.0,1627.2
2024-07-03,55394.7,72.0,1589.8
2024-07-04,55296.7,186.0,1554.8
2024-07-05,55248.7,329.0,1522.7
2024-07-06,55248.7,430.0,1492.5
2024-07-07,55248.7,430.0,1462.5
2024-07-08,55248.7,430.0,1432.4
2024-07-09,55248.7,433.0,1402.3
2024-07-10,55248.7,433.0,1372.3
2024-07-11,55248.7,433.0,1342.2
2024-07-12,55248.7,430.0,1312.1
2024-07-13,55248.7,412.0,1281.7
2024-07-14,55248.7,412.0,1251.3
2024-07-15,55246.7,410.0,1221.0
2024-07-16,55920.7,1053.0,1203.5
2024-07-17,56188.7,1308.0,1191.5
2024-07-18,56235.7,1332.0,1175.8
2024-07-19,56292.7,1368.0,1155.8
2024-07-20,56292.7,1375.0,1133.9
2024-07-21,56292.7,1375.0,1120.3
2024-07-22,56350.9,1433.2,1107.7
2024-07-23,55942.2,1043.5,1087.4
2024-07-24,55738.3,810.6,1062.0
2024-07-25,55689.3,682.6,1038.3
2024-07-26,55988.3,893.6,1023.7
2024-07-27,55988.3,841.6,1010.1
2024-07-28,55988.3,841.6,996.4
2024-07-29,56231.7,1085.0,987.6
2024-07-30,56180.7,1017.0,977.5
2024-07-31,56366.3,1530.6,977.7
2024-08-01,58458.2,3717.5,1021.6
2024-08-02,58101.3,3471.6,1060.6
2024-08-03,58101.3,3534.6,1100.9
2024-08-04,58101.3,3534.6,1141.9
2024-08-05,57800.4,3233.7,1177.0
2024-08-06,57584.8,3046.1,1208.2
2024-08-07,57333.1,2796.4,1234.6
2024-08-08,57329.8,2800.1,1259.1
2024-08-09,57341.5,2809.8,1286.3
2024-08-10,57341.5,2809.8,1313.3
2024-08-11,57341.5,2809.8,1339.4
2024-08-12,57415.3,2883.6,1367.1
2024-08-13,57800.4,3265.7,1405.3
2024-08-14,58169.6,3640.9,1449.8
2024-08-15,58740.2,3914.5,1501.1
2024-08-16,58865.1,3876.4,1551.4
2024-08-17,58865.1,3780.4,1602.8
2024-08-18,58865.1,3780.4,1656.3
2024-08-19,58842.7,3758.0,1731.2
2024-08-20,58606.1,3493.4,1797.8
2024-08-21,58494.9,3271.2,1861.2
2024-08-22,58276.5,3050.8,1920.8
2024-08-23,58518.0,3399.3,1985.0
2024-08-24,58518.0,3276.3,2044.0
2024-08-25,58518.0,3276.3,2100.9
2024-08-26,58465.9,3224.2,2156.8
2024-08-27,58789.3,3249.6,2213.2
2024-08-28,58808.6,2994.9,2264.4
2024-08-29,58600.2,2705.5,2309.9
2024-08-30,58251.0,2208.3,2345.4
2024-08-31,58251.0,2328.3,2383.3
2024-09-01,57344.9,1422.2,2403.5
2024-09-02,57348.4,1425.7,2423.8
2024-09-03,56877.1,1274.4,2441.1
2024-09-04,56600.5,1368.8,2447.4
2024-09-05,56512.9,1637.2,2454.0
2024-09-06,56624.3,1627.6,2459.9
2024-09-07,56624.3,1365.6,2459.9
2024-09-08,56624.3,1365.6,2459.7
2024-09-09,56712.3,1453.6,2461.2
2024-09-10,56897.1,1435.4,2461.3
2024-09-11,57106.4,1449.7,2469.4
2024-09-12,57203.9,1508.2,2483.4
2024-09-13,57298.6,1822.9,2506.2
2024-09-14,57437.3,1824.6,2524.8
2024-09-15,57437.3,1824.6,2544.4
2024-09-16,57345.8,1733.1,2562.3
2024-09-17,57159.8,1518.1,2570.9
2024-09-18,57518.0,1817.3,2586.9
2024-09-19,57880.8,1954.1,2595.4
2024-09-20,58216.5,2148.8,2564.0
2024-09-21,58077.8,1808.1,2530.8
2024-09-22,58077.8,1808.1,2496.2
2024-09-23,58312.4,2042.7,2466.4
2024-09-24,58772.4,2367.7,2449.1
2024-09-25,58400.7,1826.0,2424.7
2024-09-26,58169.1,1182.4,2392.4
2024-09-27,58875.2,1448.5,2365.4
2024-09-28,58875.2,1448.5,2338.1
2024-09-29,59057.2,1630.5,2314.5
2024-09-30,59109.2,5489.2,2368.1
2024-10-01,59109.2,5549.2,2421.4
2024-10-02,59109.2,5609.2,2468.3
2024-10-03,59109.2,5895.2,2513.4
2024-10-04,59109.2,6078.2,2556.7
2024-10-05,59109.2,6280.2,2604.7
2024-10-06,58927.2,5898.2,2647.1
2024-10-07,58640.6,5591.6,2683.3
2024-10-08,58222.3,5472.3,2717.6
2024-10-09,58086.8,5647.8,2760.7
2024-10-10,57944.8,5820.8,2811.7
2024-10-11,57761.0,5983.0,2870.3
2024-10-12,57784.2,5911.2,2920.6
2024-10-13,57784.2,6111.2,2977.3
2024-10-14,57803.7,6150.7,3034.8
2024-10-15,57830.3,6197.3,3094.2
2024-10-16,58411.7,6774.7,3164.7
2024-10-17,58394.3,6754.3,3239.9
2024-10-18,58408.5,6586.5,3317.5
2024-10-19,58385.3,5830.3,3390.0
2024-10-20,58385.3,5830.3,3460.0
2024-10-21,58574.7,6019.7,3552.0
2024-10-22,58664.8,5301.8,3629.5
2024-10-23,58815.1,4930.1,3702.6
2024-10-24,59481.4,5201.4,3779.2
2024-10-25,59665.6,5305.6,3852.6
2024-10-26,59665.6,5634.6,3932.7
2024-10-27,59665.6,5634.6,4018.1
2024-10-28,59698.3,5667.3,4104.2
2024-10-29,59922.7,6041.7,4195.9
2024-10-30,59561.0,5661.0,4280.4
2024-10-31,59089.7,5448.9,4360.4
2024-11-01,57615.2,4204.5,4414.3
2024-11-02,57615.2,4660.5,4471.1
2024-11-03,57615.2,4660.5,4527.8
2024-11-04,57390.9,4436.2,4580.1
2024-11-05,57026.4,4711.7,4639.6
2024-11-06,56612.7,4557.0,4700.4
2024-11-07,56304.3,4165.6,4747.4
2024-11-08,56299.4,4152.7,4791.3
2024-11-09,56299.4,3992.7,4828.2
2024-11-10,56299.4,3992.7,4871.9
2024-11-11,56415.8,4109.1,4917.9
2024-11-12,56523.0,4121.3,4959.5
2024-11-13,56738.7,4266.0,4997.5
2024-11-14,57047.7,5049.0,5061.9
2024-11-15,58016.5,5842.8,5155.1
2024-11-16,58016.5,5693.8,5240.0
2024-11-17,58016.5,5693.8,5324.9
2024-11-18,58055.4,5732.7,5407.0
2024-11-19,58218.2,5803.5,5413.3
2024-11-20,58287.3,5977.6,5421.8
2024-11-21,58429.2,5659.5,5422.9
2024-11-22,58083.3,5171.6,5408.4
2024-11-23,58083.3,4859.6,5384.0
2024-11-24,58083.3,4859.6,5355.6
2024-11-25,58160.0,4936.3,5336.4
2024-11-26,58171.0,4651.3,5317.6
2024-11-27,58137.2,4521.5,5298.5
2024-11-28,57857.4,4263.7,5270.9
2024-11-29,57701.3,3963.6,5233.7
2024-11-30,57701.3,3782.9,5189.7
2024-12-01,58604.4,4686.0,5165.2
2024-12-02,58388.4,4470.0,5132.4
2024-12-03,58140.4,4656.0,5102.5
2024-12-04,57913.4,4634.0,5071.2
2024-12-05,57760.4,4679.0,5029.3
2024-12-06,57472.3,4690.9,4988.0
2024-12-07,57472.3,4612.9,4948.6
2024-12-08,57472.3,4612.9,4924.2
2024-12-09,57486.1,4626.7,4900.1
2024-12-10,57576.4,4499.0,4869.7
2024-12-11,57613.7,4332.3,4850.3
2024-12-12,57642.5,4336.1,4838.5
2024-12-13,57656.7,4451.3,4823.5
2024-12-14,57656.7,4648.3,4810.3
2024-12-15,57656.7,4648.3,4790.6
2024-12-16,58362.7,5354.3,4785.0
2024-12-17,58576.5,5609.1,4783.8
2024-12-18,58885.5,6031.1,4783.6
2024-12-19,58900.0,6025.6,4790.9
2024-12-20,58796.5,5763.1,4797.2
2024-12-21,58796.5,5432.1,4821.7
2024-12-22,58796.5,5432.1,4837.2
2024-12-23,58153.0,4788.6,4839.7
2024-12-24,57861.7,4210.3,4835.2
2024-12-25,57666.4,3666.0,4814.3
2024-12-26,57692.1,3404.7,4791.2
2024-12-27,57698.3,3231.9,4772.6
2024-12-28,57698.3,3076.9,4751.1
2024-12-29,57698.3,3076.9,4732.7
2024-12-30,57677.8,3056.4,4714.0
2024-12-31,57771.4,3749.0,4706.8
2025-01-01,57579.1,3984.7,4704.1
2025-01-02,57497.6,4461.2,4708.0
2025-01-03,57409.1,4957.7,4706.2
2025-01-04,57409.1,5368.7,4696.7
2025-01-05,57409.1,5368.7,4690.2
2025-01-06,57334.1,5293.7,4682.2
2025-01-07,57183.5,5183.1,4671.2
2025-01-08,57184.6,5341.2,4661.9
2025-01-09,57163.9,5314.5,4648.7
2025-01-10,57149.1,5287.7,4641.2
2025-01-11,57149.1,5297.7,4643.8
2025-01-12,57149.1,5297.7,4652.5
2025-01-13,57159.8,5308.4,4661.5
2025-01-14,57207.7,5406.3,4670.9
2025-01-15,58166.1,5669.7,4691.3
2025-01-16,58502.5,5479.1,4710.4
2025-01-17,58603.0,5506.6,4735.3
2025-01-18,58603.0,5500.6,4766.0
2025-01-19,58603.0,5500.6,4800.4
2025-01-20,58701.2,5598.8,4818.6
2025-01-21,58902.2,5677.8,4842.8
2025-01-22,59100.2,6170.8,4873.1
2025-01-23,59239.7,6394.3,4908.3
2025-01-24,59418.7,6207.3,4938.8
2025-01-25,59418.7,5817.3,4961.4
