date,btcusd,sp500
2020-10-09,11057.07,3477.139892578125
2020-10-10,11299.5,
2020-10-11,11374.01,
2020-10-12,11535.46,3534.219970703125
2020-10-13,11428.22,3511.929931640625
2020-10-14,11427.7,3488.669921875
2020-10-15,11509.34,3483.340087890625
2020-10-16,11328.95,3483.81005859375
2020-10-17,11367.89,
2020-10-18,11514.2,
2020-10-19,11760.45,3426.919921875
2020-10-20,11923.83,3443.1201171875
2020-10-21,12808.0,3435.56005859375
2020-10-22,12987.02,3453.489990234375
2020-10-23,12937.09,3465.389892578125
2020-10-24,13126.24,
2020-10-25,13045.0,
2020-10-26,13068.79,3400.969970703125
2020-10-27,13698.18,3390.679931640625
2020-10-28,13281.05,3271.030029296875
2020-10-29,13460.0,3310.110107421875
2020-10-30,13571.51,3269.9599609375
2020-10-31,13804.81,
2020-11-01,13771.59,
2020-11-02,13563.22,3310.239990234375
2020-11-03,14035.8,3369.159912109375
2020-11-04,14161.48,3443.43994140625
2020-11-05,15608.21,3510.449951171875
2020-11-06,15599.95,3509.43994140625
2020-11-07,14834.09,
2020-11-08,15482.9,
2020-11-09,15342.25,3550.5
2020-11-10,15315.03,3545.530029296875
2020-11-11,15705.79,3572.659912109375
2020-11-12,16310.81,3537.010009765625
2020-11-13,16339.56,3585.14990234375
2020-11-14,16082.01,
2020-11-15,15966.89,
2020-11-16,16726.64,3626.909912109375
2020-11-17,17679.36,3609.530029296875
2020-11-18,17782.91,3567.7900390625
2020-11-19,17821.58,3581.8701171875
2020-11-20,18675.25,3557.5400390625
2020-11-21,18721.21,
2020-11-22,18437.66,
2020-11-23,18384.82,3577.590087890625
2020-11-24,19172.84,3635.409912109375
2020-11-25,18721.93,3629.64990234375
2020-11-26,17170.0,
2020-11-27,17153.95,3638.35009765625
2020-11-28,17739.85,
2020-11-29,18202.04,
2020-11-30,19713.94,3621.6298828125
2020-12-01,18782.97,3662.449951171875
2020-12-02,19225.63,3669.010009765625
2020-12-03,19448.64,3666.719970703125
2020-12-04,18658.1,3699.1201171875
2020-12-05,19158.96,
2020-12-06,19375.6,
2020-12-07,19177.71,3691.9599609375
2020-12-08,18316.22,3702.25
2020-12-09,18546.55,3672.820068359375
2020-12-10,18253.44,3668.10009765625
2020-12-11,18042.15,3663.4599609375
2020-12-12,18821.28,
2020-12-13,19166.65,
2020-12-14,19272.37,3647.489990234375
2020-12-15,19444.6,3694.6201171875
2020-12-16,21359.65,3701.169921875
2020-12-17,22826.48,3722.47998046875
2020-12-18,23137.76,3709.409912109375
2020-12-19,23849.99,
2020-12-20,23476.51,
2020-12-21,22729.4,3694.919921875
2020-12-22,23823.27,3687.260009765625
2020-12-23,23228.35,3690.010009765625
2020-12-24,23717.96,3703.06005859375
2020-12-25,24704.71,
2020-12-26,26475.35,
2020-12-27,26258.65,
2020-12-28,27040.36,3735.360107421875
2020-12-29,27366.35,3727.0400390625
2020-12-30,28897.42,3732.0400390625
2020-12-31,28990.08,3756.070068359375
2021-01-01,29412.84,
2021-01-02,32225.91,
2021-01-03,33080.66,
2021-01-04,32019.99,3700.64990234375
2021-01-05,34030.64,3726.860107421875
2021-01-06,36859.26,3748.139892578125
2021-01-07,39505.56,3803.7900390625
2021-01-08,40665.15,3824.679931640625
2021-01-09,40257.43,
2021-01-10,38171.57,
2021-01-11,35452.59,3799.610107421875
2021-01-12,34038.98,3801.18994140625
2021-01-13,37393.66,3809.840087890625
2021-01-14,39125.14,3795.5400390625
2021-01-15,36754.67,3768.25
2021-01-16,36006.94,
2021-01-17,35820.0,
2021-01-18,36624.23,
2021-01-19,35917.28,3798.909912109375
2021-01-20,35503.09,3851.85009765625
2021-01-21,30855.95,3853.070068359375
2021-01-22,32984.93,3841.469970703125
2021-01-23,32112.01,
2021-01-24,32288.56,
2021-01-25,32261.87,3855.360107421875
2021-01-26,32510.82,3849.6201171875
2021-01-27,30407.13,3750.77001953125
2021-01-28,33488.99,3787.3798828125
2021-01-29,34262.11,3714.239990234375
2021-01-30,34315.63,
2021-01-31,33137.74,
2021-02-01,33533.19,3773.860107421875
2021-02-02,35512.67,3826.31005859375
2021-02-03,37678.37,3830.169921875
2021-02-04,36975.0,3871.739990234375
2021-02-05,38311.49,3886.830078125
2021-02-06,39265.43,
2021-02-07,38871.42,
2021-02-08,46448.1,3915.590087890625
2021-02-09,46514.73,3911.22998046875
2021-02-10,44850.0,3909.8798828125
2021-02-11,47997.91,3916.3798828125
2021-02-12,47408.34,3934.830078125
2021-02-13,47232.45,
2021-02-14,48680.69,
2021-02-15,47936.37,
2021-02-16,49158.71,3932.590087890625
2021-02-17,52170.01,3931.330078125
2021-02-18,51601.73,3913.969970703125
2021-02-19,55983.56,3906.7099609375
2021-02-20,55923.52,
2021-02-21,57489.16,
2021-02-22,54142.13,3876.5
2021-02-23,48899.99,3881.3701171875
2021-02-24,49737.82,3925.429931640625
2021-02-25,47058.48,3829.340087890625
2021-02-26,46326.2,3811.14990234375
2021-02-27,46180.75,
2021-02-28,45231.75,
2021-03-01,49639.4,3901.820068359375
2021-03-02,48511.6,3870.2900390625
2021-03-03,50360.0,3819.719970703125
2021-03-04,48368.52,3768.469970703125
2021-03-05,48769.47,3841.93994140625
2021-03-06,48909.84,
2021-03-07,50978.61,
2021-03-08,52415.23,3821.35009765625
2021-03-09,54916.38,3875.43994140625
2021-03-10,55890.69,3898.81005859375
2021-03-11,57815.47,3939.340087890625
2021-03-12,57225.91,3943.340087890625
2021-03-13,61178.5,
2021-03-14,58972.7,
2021-03-15,55636.15,3968.93994140625
2021-03-16,56927.11,3962.7099609375
2021-03-17,58925.54,3974.1201171875
2021-03-18,57644.95,3915.4599609375
2021-03-19,58039.66,3913.10009765625
2021-03-20,58116.7,
2021-03-21,57363.32,
2021-03-22,54110.07,3940.590087890625
2021-03-23,54345.54,3910.52001953125
2021-03-24,52276.16,3889.139892578125
2021-03-25,51325.01,3909.52001953125
2021-03-26,55072.44,3974.5400390625
2021-03-27,55856.53,
2021-03-28,55778.82,
2021-03-29,57613.48,3971.090087890625
2021-03-30,58786.46,3958.550048828125
2021-03-31,58800.0,3972.889892578125
2021-04-01,58726.48,4019.8701171875
2021-04-02,58981.04,
2021-04-03,57094.34,
2021-04-04,58215.94,
2021-04-05,59123.02,4077.909912109375
2021-04-06,58019.98,4073.93994140625
2021-04-07,55955.75,4079.949951171875
2021-04-08,58083.1,4097.169921875
2021-04-09,58092.68,4128.7998046875
2021-04-10,59778.6,
2021-04-11,59985.26,
2021-04-12,59839.82,4127.990234375
2021-04-13,63588.22,4141.58984375
2021-04-14,62971.8,4124.66015625
2021-04-15,63229.04,4170.419921875
2021-04-16,61427.27,4185.47021484375
2021-04-17,60058.86,
2021-04-18,56274.41,
2021-04-19,55696.83,4163.259765625
2021-04-20,56499.29,4134.93994140625
2021-04-21,53800.86,4173.419921875
2021-04-22,51701.59,4134.97998046875
2021-04-23,51187.27,4180.169921875
2021-04-24,50089.15,
2021-04-25,49121.0,
2021-04-26,54053.6,4187.6201171875
2021-04-27,55069.62,4186.72021484375
2021-04-28,54894.03,4183.18017578125
2021-04-29,53580.0,4211.47021484375
2021-04-30,57798.77,4181.169921875
2021-05-01,57859.28,
2021-05-02,56625.2,
2021-05-03,57212.73,4192.66015625
2021-05-04,53241.92,4164.66015625
2021-05-05,57515.69,4167.58984375
2021-05-06,56440.66,4201.6201171875
2021-05-07,57380.39,4232.60009765625
2021-05-08,58958.05,
2021-05-09,58312.57,
2021-05-10,55866.41,4188.43017578125
2021-05-11,56753.19,4152.10009765625
2021-05-12,49498.77,4063.0400390625
2021-05-13,49690.11,4112.5
2021-05-14,49893.48,4173.85009765625
2021-05-15,46775.51,
2021-05-16,46450.79,
2021-05-17,43580.5,4163.2900390625
2021-05-18,42857.15,4127.830078125
2021-05-19,36731.75,4115.68017578125
2021-05-20,40623.33,4159.1201171875
2021-05-21,37340.77,4155.85986328125
2021-05-22,37476.83,
2021-05-23,34758.67,
2021-05-24,38878.56,4197.0498046875
2021-05-25,38361.81,4188.1298828125
2021-05-26,39293.23,4195.990234375
2021-05-27,38556.88,4200.8798828125
2021-05-28,35680.47,4204.10986328125
2021-05-29,34627.82,
2021-05-30,35669.44,
2021-05-31,37279.31,
2021-06-01,36685.0,4202.0400390625
2021-06-02,37577.91,4208.1201171875
2021-06-03,39248.55,4192.85009765625
2021-06-04,36856.52,4229.89013671875
2021-06-05,35539.49,
2021-06-06,35800.48,
2021-06-07,33575.91,4226.52001953125
2021-06-08,33402.13,4227.259765625
2021-06-09,37403.86,4219.5498046875
2021-06-10,36694.05,4239.18017578125
2021-06-11,37338.44,4247.43994140625
2021-06-12,35557.33,
2021-06-13,39015.24,
2021-06-14,40539.47,4255.14990234375
2021-06-15,40162.37,4246.58984375
2021-06-16,38351.0,4223.7001953125
2021-06-17,38095.17,4221.85986328125
2021-06-18,35841.81,4166.4501953125
2021-06-19,35484.79,
2021-06-20,35585.78,
2021-06-21,31609.82,4224.7900390625
2021-06-22,32538.37,4246.43994140625
2021-06-23,33688.35,4241.83984375
2021-06-24,34654.58,4266.490234375
2021-06-25,31594.63,4280.7001953125
2021-06-26,32275.19,
2021-06-27,34709.23,
2021-06-28,34493.22,4290.60986328125
2021-06-29,35904.28,4291.7998046875
2021-06-30,35060.0,4297.5
2021-07-01,33516.11,4319.93994140625
2021-07-02,33805.02,4352.33984375
2021-07-03,34682.16,
2021-07-04,35284.05,
2021-07-05,33697.78,
2021-07-06,34225.73,4343.5400390625
2021-07-07,33878.56,4358.1298828125
2021-07-08,32875.95,4320.81982421875
2021-07-09,33824.26,4369.5498046875
2021-07-10,33515.35,
2021-07-11,34259.23,
2021-07-12,33091.1,4384.6298828125
2021-07-13,32734.14,4369.2099609375
2021-07-14,32816.39,4374.2998046875
2021-07-15,31868.68,4360.02978515625
2021-07-16,31388.06,4327.16015625
2021-07-17,31533.91,
2021-07-18,31788.25,
2021-07-19,30842.03,4258.490234375
2021-07-20,29796.16,4323.06005859375
2021-07-21,32135.19,4358.68994140625
2021-07-22,32287.74,4367.47998046875
2021-07-23,33647.26,4411.7900390625
2021-07-24,34283.01,
2021-07-25,35428.26,
